471.695868788,2016-02-08 15:22:54.568340,52.7422105779,69.1922822777
474.817103271,2016-02-08 15:23:54.572068,56.4750421186,67.4483520997
477.907466519,2016-02-08 15:24:54.575055,60.1809378829,65.3819383549
480.939209824,2016-02-08 15:25:54.577395,63.8508219997,62.8584004109
483.886102412,2016-02-08 15:26:54.579454,67.4698093145,59.6610808124
486.723776918,2016-02-08 15:27:54.582363,71.0119021138,55.4221717048
489.429852266,2016-02-08 15:28:54.584465,74.4279061727,49.4801699589
491.98448493,2016-02-08 15:29:54.587820,77.6172361523,40.583490491
494.370248747,2016-02-08 15:30:54.590959,80.3568726271,26.4044428026
496.572556783,2016-02-08 15:31:54.594816,82.165237755,3.92026339604
498.579631141,2016-02-08 15:32:54.599252,82.3547239494,-24.7628021725
500.382568865,2016-02-08 15:33:54.602260,80.8272828354,-49.0248702102
501.97556182,2016-02-08 15:34:54.606478,78.2351009518,-64.6664764689
503.355611475,2016-02-08 15:35:54.610567,75.1255659172,-74.4007175625
504.522629098,2016-02-08 15:36:54.614570,71.7616742776,-80.8123266556
505.479276089,2016-02-08 15:37:54.617954,68.2611553498,-85.3283506034
506.230842464,2016-02-08 15:38:54.621173,64.6803159529,-88.6991438456
506.785036488,2016-02-08 15:39:54.624684,61.0484862902,-91.3369185808
507.151763526,2016-02-08 15:40:54.628815,57.3821433554,-93.4817218378
507.342894872,2016-02-08 15:41:54.644122,53.6905040097,-95.2814937076
507.371891104,2016-02-08 15:42:54.647714,49.981195594,-96.8308307846
507.253704647,2016-02-08 15:43:54.650940,46.2576194783,-98.1941367755
507.004278816,2016-02-08 15:44:54.654491,42.5225446229,-99.4160145781
506.640271963,2016-02-08 15:45:54.658077,38.7779961679,-100.528478093
506.178716608,2016-02-08 15:46:54.661530,35.0254760427,-101.555161143
505.636673142,2016-02-08 15:47:54.665071,31.2661261616,-102.513957158
505.030903117,2016-02-08 15:48:54.668070,27.5009216801,-103.418717264
504.377521376,2016-02-08 15:49:54.671237,23.7306095062,-104.280437333
503.691699218,2016-02-08 15:50:54.675119,19.9558530039,-105.108028976
502.987297593,2016-02-08 15:51:54.686987,16.1768323,-105.908975399
502.276964621,2016-02-08 15:52:54.690760,12.3951618655,-106.689346179
501.571342888,2016-02-08 15:53:54.695028,8.61088147687,-107.454744596
500.879285777,2016-02-08 15:54:54.698595,4.82463600461,-108.210087559
500.207581211,2016-02-08 15:55:54.701615,1.03698076917,-108.959950104
499.560847508,2016-02-08 15:56:54.706066,-2.7516441447,-109.708738927
498.941547607,2016-02-08 15:57:54.709394,-6.54050929659,-110.460767491
498.349882405,2016-02-08 15:58:54.713837,-10.3291815996,-111.220524089
497.78392814,2016-02-08 15:59:54.717167,-14.1169361796,-111.992715479
497.239643792,2016-02-08 16:00:54.720830,-17.9032651055,-112.782550786
496.711004288,2016-02-08 16:01:54.730681,-21.6879152451,-113.595974591
496.190375181,2016-02-08 16:02:54.733987,-25.4694260526,-114.439623946
495.668391432,2016-02-08 16:03:54.737731,-29.2475267715,-115.321705276
495.134441449,2016-02-08 16:04:54.741901,-33.0214238535,-116.252118878
494.576890258,2016-02-08 16:05:54.745617,-36.7901463852,-117.243211156
493.983359096,2016-02-08 16:06:54.749469,-40.5526310358,-118.310776238
493.34105824,2016-02-08 16:07:54.753734,-44.3075158159,-119.475448561
492.637116131,2016-02-08 16:08:54.758390,-48.0529959641,-120.764849627
491.85893022,2016-02-08 16:09:54.761948,-51.7865217574,-122.216909525
490.994424295,2016-02-08 16:10:54.767107,-55.5047739794,-123.885430024
490.032394231,2016-02-08 16:11:54.777517,-59.2028174484,-125.849185633
488.963074769,2016-02-08 16:12:54.783419,-62.8720755433,-128.22741079
487.778024332,2016-02-08 16:13:54.787464,-66.4997574655,-131.210189545
486.470580377,2016-02-08 16:14:54.791285,-70.0636390693,-135.115782142
485.036131606,2016-02-08 16:15:54.794446,-73.5224189347,-140.508819645
483.472259982,2016-02-08 16:16:54.797543,-76.7931988325,-148.448787407
481.778919468,2016-02-08 16:17:54.801448,-79.6947786376,-160.951803098
479.958648359,2016-02-08 16:18:54.804522,-81.8225731989,178.859593007
478.016506349,2016-02-08 16:19:54.807818,-82.4852463589,150.78987679
475.960178939,2016-02-08 16:20:54.812492,-81.3369571333,124.37320537
473.799772801,2016-02-08 16:21:54.825216,-78.9244963339,106.637649738
471.548592363,2016-02-08 16:22:54.835510,-75.879431031,95.6888743277
469.222255826,2016-02-08 16:23:54.838585,-72.5276303509,88.6120948564
466.838218606,2016-02-08 16:24:54.842226,-69.0133049475,83.7133136533
464.416370698,2016-02-08 16:25:54.846154,-65.4041362721,80.1081422124
461.978539899,2016-02-08 16:26:54.849153,-61.7347629725,77.3185383156
459.548105192,2016-02-08 16:27:54.851691,-58.0243109984,75.0705257044
457.149721138,2016-02-08 16:28:54.854927,-54.2840848718,73.1979529324
454.809074214,2016-02-08 16:29:54.858111,-50.521303506,71.5949682561
452.552372247,2016-02-08 16:30:54.861917,-46.7406940827,70.1911128126
450.405769398,2016-02-08 16:31:54.873815,-42.9451177053,68.9376169427
448.393984911,2016-02-08 16:32:54.940766,-39.1340354759,67.7990093901
446.546473262,2016-02-08 16:33:54.944840,-35.3168234457,66.7520651078
444.885479495,2016-02-08 16:34:54.948610,-31.491048634,65.7764187686
443.433890509,2016-02-08 16:35:54.953107,-27.6579453218,64.8573121175
442.21273531,2016-02-08 16:36:54.957530,-23.8187160987,63.983126158
441.240747299,2016-02-08 16:37:54.960972,-19.9744760446,63.1444801588
440.533993151,2016-02-08 16:38:54.964682,-16.1261428503,62.3335886031
440.105637098,2016-02-08 16:39:54.967870,-12.2747284685,61.5438748404
439.965635982,2016-02-08 16:40:54.971992,-8.42107879863,60.7695797498
440.120602067,2016-02-08 16:41:54.983336,-4.56571593945,60.0054726384
440.573511744,2016-02-08 16:42:54.986635,-0.710538562137,59.2469746337
441.323762351,2016-02-08 16:43:54.990326,3.14408356739,58.4894043376
442.367091399,2016-02-08 16:44:54.994124,6.99722520053,57.7282263551
443.695618523,2016-02-08 16:45:54.997713,10.8479628883,56.9587783693
445.297968792,2016-02-08 16:46:55.001394,14.695414646,56.1760913706
447.159428401,2016-02-08 16:47:55.005371,18.5386901526,55.3747038741
449.262126124,2016-02-08 16:48:55.008712,22.3768171393,54.5484419663
451.585422177,2016-02-08 16:49:55.012689,26.2089429307,53.6900771176
454.106067697,2016-02-08 16:50:55.016221,30.0340236019,52.7909991001
456.798768727,2016-02-08 16:51:55.021109,33.8511281181,51.8406086541
459.63645926,2016-02-08 16:52:55.028870,37.6591900114,50.8256144111
462.590264403,2016-02-08 16:53:55.031971,41.4563843228,49.7291256301
465.630992372,2016-02-08 16:54:55.035815,45.2414158728,48.5286842528
468.728652131,2016-02-08 16:55:55.039499,49.0121343677,47.1941738167
471.853236483,2016-02-08 16:56:55.043171,52.7657386528,45.6838820647
474.975078966,2016-02-08 16:57:55.046681,56.4982581802,43.93830892
478.065277317,2016-02-08 16:58:55.049874,60.2038251498,41.8695963058
481.096150385,2016-02-08 16:59:55.053999,63.8734084712,39.342677125
484.041416583,2016-02-08 17:00:55.058207,67.4919993226,36.1402537194
486.876688736,2016-02-08 17:01:55.062860,71.0334589422,31.8932963666
489.5799533,2016-02-08 17:02:55.074122,74.4488255004,25.9368926702
492.130665801,2016-02-08 17:03:55.077838,77.6361127565,17.0160019067
494.511900451,2016-02-08 17:04:55.082978,80.3717586554,2.79392233255
496.709003844,2016-02-08 17:05:55.088054,82.1720753197,-19.7460248736
498.710228369,2016-02-08 17:06:55.092507,82.3500699834,-48.4360496142
500.506812518,2016-02-08 17:07:55.097528,80.8137430398,-72.6453480614
502.092855519,2016-02-08 17:08:55.101213,78.2171390974,-88.2395609981
503.465516065,2016-02-08 17:09:55.106381,75.1054889095,-97.9466986238
504.624736945,2016-02-08 17:10:55.113370,71.7404163543,-104.343350622
505.573150078,2016-02-08 17:11:55.117796,68.2393017736,-108.850453937
506.31619648,2016-02-08 17:12:55.128102,64.657739477,-112.215988421
506.861480144,2016-02-08 17:13:55.132522,61.0256791832,-114.850048812
507.219039579,2016-02-08 17:14:55.137617,57.3591723394,-116.992303661
507.400770248,2016-02-08 17:15:55.142017,53.6681407172,-118.789932792
507.420251622,2016-02-08 17:16:55.146212,49.9587553427,-120.337973921
507.292428205,2016-02-08 17:17:55.149777,46.2351296342,-121.700301657
507.033287116,2016-02-08 17:18:55.153621,42.5000127079,-122.921430205
506.659521272,2016-02-08 17:19:55.158573,38.7553556872,-124.033331093
506.188211955,2016-02-08 17:20:55.163002,35.0027489884,-125.059567646
505.636457903,2016-02-08 17:21:55.167492,31.243310166,-126.01801162
